address,latitude,longitude
"24 Universal Blvd, Warwick, RI 02886",41.70142361406466,-71.49622935849673
"201 Branch Ave, Providence, RI 02904",41.847375324977705,-71.41240583119033
"109 Mariano Bishop Blvd, Fall River, MA 02721",41.676587611969445,-71.16447284264083
"1925 Pawtucket Ave, East Providence, RI 02914",41.823419466068685,-71.3578806685053
"1385 S Washington St, North Attleborough, MA 02760",41.93717861460553,-71.35158547209568
"1014 Kings Hwy, New Bedford, MA 02745",41.67611733360954,-70.94111882728663
"1500 Diamond Hill Rd, Woonsocket, RI 02895",42.01669053076259,-71.4775488238762
