city,number_of_locations,number_of_stops,latitude,longitude
greenwich,12,12,41.6433679,-71.6169208
greenwich',1,1,41.6588432,-71.4823065
greewich,2,2,41.6416286,-71.4955274
harriisville,1,3,41.9695780,-71.6737341
harrisville,125,160,41.9717991,-71.6562444
harriville,1,1,41.9606231,-71.6712715
harrrisville,1,1,41.9838996,-71.6754535
holliston,1,2,42.2305067,-71.4192354
hope,84,119,41.7437984,-71.5730464
hope valley,191,411,41.5073632,-71.7170466
hopkinton,32,45,41.4789748,-71.7348277
jamestowm,1,1,41.5359570,-71.3793264
jamestown,243,344,41.5224627,-71.3767240
jct,1,1,41.4366963,-71.7174226
johnston,818,1234,41.8270527,-71.5019745
johnston `,1,1,41.8222720,-71.4785600
johnton,1,1,41.8054039,-71.4902717
johston,1,1,41.8542471,-71.4884940
jonhston,1,1,41.8455840,-71.4940589
jonnston,1,1,41.8468298,-71.5519099
jonston,4,4,41.8216087,-71.4885681
kingston,139,182,41.4802948,-71.5345615
kingston west,2,3,41.5194067,-71.6124233
kingstown,3,4,41.5190738,-71.5522600
kingtown,7,7,41.5988121,-71.4427562
kinngstown,1,1,41.6157277,-71.4703008
kinstown,1,1,41.5605728,-71.4864076
kngstown,1,1,41.5852049,-71.4390444
kongstown,1,1,41.6112504,-71.4633810
lincoln,467,779,41.9117503,-71.4436926
lincoln lincoln,1,1,,
little compton,99,282,41.5180614,-71.1579554
ltl compton,1,1,41.4883937,-71.1460426
mamville,1,1,41.9679614,-71.4695270
manville,12,13,41.9670066,-71.4728682
mapleville,27,48,41.9460869,-71.6480515
midddletown,1,1,41.5098325,-71.2999593
middleotown,1,1,41.5457210,-71.2969470
middletown,559,1070,41.5165364,-71.2837518
middlettown,1,1,41.5437660,-71.3019390
misquamicut,1,1,,
n kingstown,232,258,41.5839353,-71.4599865
n providence,149,169,41.8625302,-71.4554817
n scituate,59,63,41.8363509,-71.6186940
n smithfield,24,26,41.9882864,-71.5558556
n. attleboro,1,64,42.0001440,-71.3177190
n. kingstown,2,3,41.5875809,-71.4533143
n. providence,1,1,41.8525934,-71.4744976
n. scituate,2,2,41.8213346,-71.6055050
n. smithfield,2,2,41.9980388,-71.5610622
n.kingstown,2,3,41.5697444,-71.4516166
naragansett,1,1,41.4476756,-71.4524788
narraganset,3,3,41.3865277,-71.4883220
narragansett,802,1666,41.4469401,-71.4561563
narragansette,2,2,41.3953103,-71.4720182
narrangansett,1,1,41.3925707,-71.4767438
new bedford,1,47,41.6761125,-70.9438334
new kingstown,1,1,41.6406433,-71.4198372
newort,1,2,41.5005927,-71.3172221
newport,980,2376,41.4899590,-71.3113991
newport newport,1,1,,
no kingstown,2,2,41.6111312,-71.4264125
no kingstown no kingstown,1,1,,
no providence,2,2,41.8672748,-71.4674117
no. kingstown,2,2,41.5802965,-71.4755173
no. providence,1,1,41.8680976,-71.4875365
no. smithfield,1,1,41.9878096,-71.5599394
north,2,2,41.7288136,-71.4474101
north attleboro,22,24,41.9733098,-71.3283676
north attleborough,17,50,41.9795008,-71.3258049
north dighton,1,1,41.8673785,-71.1363317
north kingston,5,5,41.5999234,-71.4302719
north kingstown,1653,2727,41.5842881,-71.4622985
north kingstown north kingstown,4,4,41.6215790,-71.4467413
north kingstown usa,3,3,41.5431857,-71.4970286
north providence,1099,2172,41.8614024,-71.4567547
north providence north providence,3,3,,
north scituate,270,518,41.8408264,-71.6191322
north smithfield,193,324,41.9784978,-71.5514123
northbridge,1,1,42.1524130,-71.6501185
oakland,8,88,41.9622975,-71.6504747
ormsbyave warwick,1,1,41.7101908,-71.4226106
padelford,1,1,41.7744235,-71.3583642
pascoag,185,279,41.9618937,-71.7199135
pawtucket,1592,3518,41.8752569,-71.3724758
pawtucket pawtucket,5,6,41.8817820,-71.3935794
peace dale,6,8,41.4542560,-71.4984423
peace dale south kingstown,1,1,41.4610763,-71.5091163
peacedale,2,3,41.4737984,-71.4965614
poovidence,1,1,41.7948381,-71.3736748
porstmouth,1,1,41.5676875,-71.2841544
portmouth,1,1,41.5716090,-71.2527930
portsmoth,1,1,41.6315299,-71.2536263
portsmouth,730,1214,41.5906060,-71.2521033
portsmouth portsmouth,3,3,41.6220189,-71.2492950
povidence,2,2,41.8719330,-71.4644959
prividence,1,1,41.8666738,-71.4885887
prov,6,11,41.8367375,-71.4109647
providece,1,1,41.8727549,-71.4565160
providemce,1,2,41.8184840,-71.4660126
providenc,2,2,41.8293725,-71.4096195
providence,2870,5637,41.8310347,-71.4203091
providence capitol hill,1,2,41.8358910,-71.4275500
providence parentest,1,1,41.8574665,-71.4193121
providence providence,4,4,41.8472878,-71.3938536
providence usa providence,1,1,41.8437609,-71.3940126
providencve,1,1,41.8552460,-71.4719170
providene,1,1,41.8118824,-71.3765793
providenve,1,1,41.8265368,-71.4515685
pt warren,1,1,41.7154209,-71.2824200
rhode,10,12,41.5300967,-71.4717117
ri charlestown,1,2,41.3855207,-71.6302372
ri hope valley,1,1,41.4904943,-71.7501857
ri smithfield,1,1,41.8694885,-71.5301905
richmond,204,334,41.5138789,-71.6462329
riverside,529,769,41.7690379,-71.3516914
rockville,1,1,41.5166193,-71.7668424
rumford,185,338,41.8431403,-71.3546072
s kingstown,1,1,41.4706379,-71.5157220
sanderstown,1,1,41.5205116,-71.4975929
saunderstown,290,418,41.5152436,-71.4640945
saunderstown alne,1,1,41.5384187,-71.4874829
saunderstown saunderstown,1,1,41.5025669,-71.4457561
scit,4,4,41.8477787,-71.6239728
scituate,59,72,41.8249110,-71.6246891
scituate scituate,1,1,,
scitute,1,1,41.8284336,-71.6346344
sciuate,2,6,41.8075730,-71.6203025
seekonk,60,143,41.8368899,-71.3204751
slatersville,2,3,41.9975802,-71.5845668
slocum,1,1,41.5408760,-71.5177771
smith,1,1,41.8619280,-71.5626930
smithfied,2,2,41.8783550,-71.4923740
smithfield,864,2327,41.8972361,-71.5193075
smithfield smithfield,5,7,41.8877655,-71.5246648
smithfiled,6,6,41.8939501,-71.4996550
sounderstown,1,1,41.5025369,-71.4368163
south attleboro,1,1,41.9010113,-71.3744508
south kingstown,528,1770,41.4397187,-71.5278697
south kingstown south kingstown,1,1,41.4450680,-71.5512924
south kingstown the,1,1,41.3987520,-71.5231528
swansea,57,76,41.7466545,-71.2191842
tiverton,412,650,41.6302368,-71.1775570
tivirton,4,4,41.6536512,-71.1818396
tivterton,2,2,41.6208768,-71.1845149
uxbridge,2,2,42.0488207,-71.6817429
vally,1,1,41.4728159,-71.7205629
w greenwich,14,14,41.6578392,-71.6452715
w kingston,1,1,41.4957217,-71.5911261
wakefield,520,700,41.4343919,-71.5276292
wakefild,1,1,41.4570600,-71.4743936
warick,3,3,41.7276929,-71.4788427
wariwck,1,1,41.6890954,-71.5164597
warren,565,1411,41.7245193,-71.2699509
warren swansea,1,1,41.7341492,-71.2466572
warrwn,1,1,41.7250677,-71.2716985
warwck,1,1,41.7392967,-71.4046917
warwick,2583,4981,41.7191755,-71.4178698
warwick warwick,7,9,41.7174141,-71.4390722
warwicl,1,1,41.7054963,-71.4222829
warwock,1,1,41.6888502,-71.5097722
warwuck,1,1,41.6983257,-71.4377300
wary,1,1,41.7337942,-71.4028639
watwick,1,1,41.6719128,-71.4734375
west greenwich,193,566,41.6391423,-71.6398700
west kingston,26,31,41.4997765,-71.5865522
