feature,coefficient,abs_coefficient
"cat__display_name_11, Glen Avenue, North Smithfield, Providence County, Rhode Island, 02896, United States",-7.886043649277892,7.886043649277892
"cat__display_name_53, Arrowhead Trail, Smithfield, Providence County, Rhode Island, 02917, United States",-7.80873346112226,7.80873346112226
"cat__display_name_50, Lodge Road, Huntsville, Pascoag, Burrillville, Providence County, Rhode Island, 02859, United States",-7.7905068995716595,7.7905068995716595
"cat__display_name_10, Grant Drive, Tiogue, Coventry, Kent County, Rhode Island, 02816, United States",-7.736451708028176,7.736451708028176
"cat__display_name_267, County Road, Barrington, Bristol County, Rhode Island, 02806, United States",-7.663002287859179,7.663002287859179
"cat__display_name_Desiree Court, Stillwater, Smithfield, Providence County, Rhode Island, 02917, United States",-7.450285582107234,7.450285582107234
"cat__display_name_44, Starflower Court, Snug Harbor, South Kingstown, South County, Rhode Island, 02879, United States",-7.371234970386997,7.371234970386997
"cat__display_name_51, Liberty Street, East Greenwich, Kent County, Rhode Island, 02818, United States",7.357615467142193,7.357615467142193
"cat__display_name_4, Petal Lane, South Kingstown, South County, Rhode Island, 02879, United States",-7.238996013491472,7.238996013491472
cat__driver_Michael Espinal,7.234789171649981,7.234789171649981
"cat__display_name_27, Starflower Court, Snug Harbor, South Kingstown, South County, Rhode Island, 02879, United States",-7.210691784862451,7.210691784862451
"cat__display_name_875, Ten Rod Road, Exeter, South County, Rhode Island, 02822, United States",-7.184321352597492,7.184321352597492
"cat__display_name_296, Sheffield Hill Road, Exeter, South County, Rhode Island, 02822, United States",-7.181428604395327,7.181428604395327
"cat__display_name_705, Metacom Avenue, Bristol, Bristol County, Rhode Island, 02809, United States",7.142388159752868,7.142388159752868
"cat__display_name_62, Countryside Drive, Cumberland, Providence County, Rhode Island, 02864, United States",-7.116371021290145,7.116371021290145
"cat__display_name_2530, Warwick Avenue, Kettle Corner, Warwick, Kent County, Rhode Island, 02889, United States",7.107062268420671,7.107062268420671
"cat__display_name_890, Ten Rod Road, Exeter, South County, Rhode Island, 02822, United States",-7.089225429002758,7.089225429002758
"cat__display_name_24, Charlotte Drive, Bristol, Bristol County, Rhode Island, 02809, United States",-7.061648838924403,7.061648838924403
"cat__display_name_19, Sherwood Valley Lane, Coventry, Kent County, Rhode Island, 02816, United States",-6.986257921055309,6.986257921055309
"cat__display_name_10, Junior Street, River Point, West Warwick, Kent County, Rhode Island, 02893, United States",-6.919055599559142,6.919055599559142
"cat__display_name_16, Legion Way, West Warwick, Kent County, Rhode Island, 02893, United States",-6.818450536279254,6.818450536279254
"cat__display_name_340, Oakland Beach Avenue, Oakland Beach, Warwick, Kent County, Rhode Island, 02889, United States",6.799676972599226,6.799676972599226
"cat__display_name_1850, Providence Pike, North Smithfield, Providence County, Rhode Island, 02896, United States",-6.764852641594445,6.764852641594445
"cat__display_name_1175, West Shore Road, Shawomet, Warwick, Kent County, Rhode Island, 02889, United States",6.760960973149343,6.760960973149343
"cat__display_name_511, Hope Street, Blackstone, Providence, Providence County, Rhode Island, 02906, United States",-6.758129678120675,6.758129678120675
"cat__display_name_4, Franca Drive, Bristol, Bristol County, Rhode Island, 02809, United States",-6.746673478629327,6.746673478629327
"cat__display_name_1, Betsey Williams Drive, Edgewood, Cranston, Providence County, Rhode Island, 02905, United States",-6.743157508897716,6.743157508897716
"cat__display_name_300, Industrial Way, Tiverton, Newport County, Rhode Island, 02878, United States",-6.674500638467055,6.674500638467055
"cat__display_name_59, Philmont Avenue, Cranston, Providence County, Rhode Island, 02910, United States",-6.629835483322035,6.629835483322035
"cat__display_name_792, Valley Road, Middletown, Newport County, Rhode Island, 02842, United States",6.6257121620443025,6.6257121620443025
"cat__display_name_236, Cheshire Drive, Cranston, Providence County, Rhode Island, 02921, United States",-6.615324868416053,6.615324868416053
"cat__display_name_5, Church Street, Greenville, Smithfield, Providence County, Rhode Island, 02828, United States",-6.50186001666983,6.50186001666983
"cat__display_name_120, High Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-6.500643545882248,6.500643545882248
"cat__display_name_1477, Victory Highway, Glendale, Oakland, Burrillville, Providence County, Rhode Island, 02858, United States",-6.498366614560097,6.498366614560097
"cat__display_name_Cranston Fire Department Station 6, 1155, Scituate Avenue, Cranston, Providence County, Rhode Island, 02921, United States",6.485452889687084,6.485452889687084
"cat__display_name_1675, Flat River Road, Coventry, Kent County, Rhode Island, 02816, United States",6.411451876123442,6.411451876123442
cat__driver_Youjay,-6.2891624660994925,6.2891624660994925
"cat__display_name_1280, High Street, Central Falls, Providence County, Rhode Island, 02863, United States",-6.260594740773079,6.260594740773079
"cat__display_name_YMCA, 300, Elmwood Street, North Attleborough, Bristol County, Massachusetts, 02762, United States",-6.258596584720174,6.258596584720174
"cat__display_name_17, Chatham Road, Cranston, Providence County, Rhode Island, 02920, United States",-6.226555848588143,6.226555848588143
"cat__display_name_32, Baylies Avenue, Bristol Ferry, Portsmouth, Newport County, Rhode Island, 02871, United States",-6.1789829016707785,6.1789829016707785
"cat__display_name_Chariho High School, 453, Switch Road, Wood River Junction, Richmond, South County, Rhode Island, 02894, United States",-6.16764946053987,6.16764946053987
"cat__display_name_875, Centerville Road, Warwick, Kent County, Rhode Island, 02886, United States",-6.107224458345274,6.107224458345274
"cat__display_name_472, Taunton Avenue, Seekonk, Bristol County, Massachusetts, 02271, United States",6.0363528160612425,6.0363528160612425
"cat__display_name_27, Williston Way, Pawtucket, Providence County, Rhode Island, 02861, United States",-6.013383704196844,6.013383704196844
"cat__display_name_55, Firglade Avenue, East Providence, Providence County, Rhode Island, 02915, United States",-6.007309270060552,6.007309270060552
"cat__display_name_125, Elton Circle, Cranston, Providence County, Rhode Island, 02921, United States",-5.940628980655985,5.940628980655985
"cat__display_name_24, St Mary Street, Arctic, West Warwick, Kent County, Rhode Island, 02893, United States",-5.909560843712048,5.909560843712048
"cat__display_name_2, Atlantic Boulevard, Centerdale, North Providence, Providence County, Rhode Island, 02911, United States",5.787166738519289,5.787166738519289
"cat__display_name_31, Betsey Williams Drive, Edgewood, Cranston, Providence County, Rhode Island, 02905, United States",-5.648414740046733,5.648414740046733
"cat__display_name_15, Bedford Road, Pawtucket, Providence County, Rhode Island, 02860, United States",-5.603262637699566,5.603262637699566
"cat__display_name_27, Oyster Point, Beach Terrace, Warren, Bristol County, Rhode Island, 02885, United States",-5.594742487897179,5.594742487897179
cat__driver_Steven,5.5387411942348175,5.5387411942348175
"cat__display_name_America's Cup Avenue, Newport, Newport County, Rhode Island, 02840, United States",-5.52246673809104,5.52246673809104
cat__driver_David Adam,-5.480738580238438,5.480738580238438
"cat__display_name_183, Elmgrove Avenue, Blackstone, Providence, Providence County, Rhode Island, 02906, United States",-5.452116365597522,5.452116365597522
"cat__display_name_63, Betsey Williams Drive, Edgewood, Cranston, Providence County, Rhode Island, 02905, United States",-5.447298903824136,5.447298903824136
"cat__display_name_14, Foxcroft Avenue, Coles, Warwick, Kent County, Rhode Island, 02889, United States",-5.424830080729664,5.424830080729664
"cat__display_name_Krzak Road, Davisville, North Kingstown, South County, Rhode Island, 02852, United States",-5.241340207684649,5.241340207684649
"cat__display_name_Seven Stars Bakery, 20, Newman Avenue, Rumford, East Providence, Providence County, Rhode Island, 02916, United States",5.195160558613775,5.195160558613775
"cat__display_name_65, Shun Pike, Johnston, Providence County, Rhode Island, 02919, United States",-5.1534020080039005,5.1534020080039005
"cat__display_name_201, Hedly Street, Portsmouth, Newport County, Rhode Island, 02871, United States",-5.124332900699541,5.124332900699541
"cat__display_name_165 S County Trail (RI-2), South County Trail, Exeter, South County, Rhode Island, 02877, United States",-5.092655375693007,5.092655375693007
cat__driver_Jack,-5.064577768026036,5.064577768026036
"cat__display_name_North Kingstown Fire Department Station 1, 8150, Post Road, Wickford, North Kingstown, South County, Rhode Island, 02852, United States",4.992813207233714,4.992813207233714
