savers_cluster_id,savers_id,savers_seed_key,location_name_primary,location_norm,primary_display_name,other_display_names,seed_display_names,distance_display_names,all_grouped_display_names,grouped_display_name_count,seed_match_stop_count,location_label_match_stop_count,distance_association_stop_count,association_only_stop_count,associated_stop_count,primary_lat,primary_lon,centroid_lat,centroid_lon,max_distance_association_m
SAVERS001,SAVERS001,SAVERS_SEED_004,SAVERS 1060,SAVERS 1060,"Davenport's Bar and Grille, 1925, Pawtucket Avenue, Carpenters Corner, East Providence, Providence County, Rhode Island, 02914, United States",[],"[""Davenport's Bar and Grille, 1925, Pawtucket Avenue, Carpenters Corner, East Providence, Providence County, Rhode Island, 02914, United States""]",[],"[""Davenport's Bar and Grille, 1925, Pawtucket Avenue, Carpenters Corner, East Providence, Providence County, Rhode Island, 02914, United States""]",1,48,47,0,0,48,41.822252,-71.3569438,41.822252,-71.3569438,0.0
SAVERS002,SAVERS002,SAVERS_SEED_006,SAVERS 1078,SAVERS 1078,"1014, Kings Highway, New Bedford, Bristol County, Massachusetts, 02745, United States",[],"[""1014, Kings Highway, New Bedford, Bristol County, Massachusetts, 02745, United States""]",[],"[""1014, Kings Highway, New Bedford, Bristol County, Massachusetts, 02745, United States""]",1,47,47,0,0,47,41.6761125,-70.9438334,41.6761125,-70.9438334,0.0
SAVERS003,SAVERS003,SAVERS_SEED_003,SAVERS 1071,SAVERS 1071,"109, Mariano Bishop Boulevard, Fall River, Bristol County, Massachusetts, 02721, United States",[],"[""109, Mariano Bishop Boulevard, Fall River, Bristol County, Massachusetts, 02721, United States""]",[],"[""109, Mariano Bishop Boulevard, Fall River, Bristol County, Massachusetts, 02721, United States""]",1,37,36,0,0,37,41.6737007,-71.1634648,41.6737007,-71.1634648,0.0
SAVERS004,SAVERS004,SAVERS_SEED_007,SAVERS 1138,SAVERS 1138,"1500 Diamond Hill, Diamond Hill Road, Woonsocket, Providence County, Rhode Island, 02895, United States",[],"[""1500 Diamond Hill, Diamond Hill Road, Woonsocket, Providence County, Rhode Island, 02895, United States""]",[],"[""1500 Diamond Hill, Diamond Hill Road, Woonsocket, Providence County, Rhode Island, 02895, United States""]",1,29,29,0,0,29,42.015745,-71.476939,42.015745,-71.476939,0.0
SAVERS005,SAVERS005,SAVERS_SEED_005,SAVERS 1150,SAVERS 1150,"TGI Friday's, 1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States","[""1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States""]","[""TGI Friday's, 1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States""]","[""1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States""]","[""1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States"", ""TGI Friday's, 1385, South Washington Street, North Attleborough, Bristol County, Massachusetts, 02760, United States""]",2,27,27,1,1,28,41.9362006,-71.3512054,41.9362006,-71.3512054,38.93
SAVERS006,SAVERS006,SAVERS_SEED_002,SAVERS 1165,SAVERS 1165,"201, Branch Avenue, Providence, Providence County, Rhode Island, 02904, United States","[""15, Metcalf Street, Providence, Providence County, Rhode Island, 02904, United States""]","[""201, Branch Avenue, Providence, Providence County, Rhode Island, 02904, United States""]","[""15, Metcalf Street, Providence, Providence County, Rhode Island, 02904, United States""]","[""15, Metcalf Street, Providence, Providence County, Rhode Island, 02904, United States"", ""201, Branch Avenue, Providence, Providence County, Rhode Island, 02904, United States""]",2,24,23,1,1,25,41.8479111,-71.4150718,41.8479111,-71.4150718,40.54
